0,23.1539702813,113.3488858973,加油加气站,风景区,维修点,报刊亭,福利机构,游乐园,农林园艺,港口,报刊亭,飞机场
1,23.1845459186,113.3064720159,剧院,车站出口,运动健身,文化宫,文化宫,山峰,水系,汽车配件,公司,山峰
2,23.0256460800,113.3020962154,新闻出版,地铁线路,中餐厅,海滨浴场,展览馆,药店,山峰,展览馆,星级酒店,银行
3,23.1688590326,113.3599742113,政府机构,火车站,超市,综合医院,党派团体,极限运动场所,港口,飞机场,商铺,综合医院
4,23.1980202512,113.3437489595,购物,综合医院,行政单位,文物古迹,美体,公交线路,诊所,门（备注：建筑物和建筑物群的门）,水族馆,小学
5,23.0296674520,113.3197434446,风景区,汽车销售,公司,银行,宿舍,动物园,桥,急救中心,极限运动场所,典当行
6,23.1932642507,113.3629762261,蛋糕甜品店,展览馆,政治教育机构,药店,涉外机构,公司企业,培训机构,家政服务,留学中介机构,中央机构
7,23.0085166928,113.3250462288,歌舞厅,涉外机构,健身中心,急救中心,政府机构,高速公路入口,蛋糕甜品店,汽车服务,综合医院,幼儿园
8,23.0286246069,113.3777049892,宠物服务,机场出口,农林园艺,农家院,飞机场,山峰,急救中心,购物,综合医院,中餐厅
9,23.0249507551,113.3442167675,车站入口,幼儿园,广播电视,房产中介机构,宠物服务,农林园艺,洗浴按摩,诊所,疗养院,机场出口
10,23.0107651838,113.3255261947,博物馆,售票处,体检机构,收费站,山峰,交通设施,殡葬服务,收费站,体育场馆,广播电视
11,23.1614027676,113.3769381430,外国餐厅,山峰,运动健身,银行,歌舞厅,出入口,科研机构,交通设施,高速公路入口,运动健身
12,23.0338937197,113.3396568835,水族馆,丽人,海滨浴场,风景区,火车站,游戏场所,商铺,家电数码,美体,公交车站
13,23.0209876234,113.3403851523,家政服务,宿舍,度假村,商铺,博物馆,汽车美容,药店,疗养院,美食,车站入口
14,23.1691512690,113.3405647841,超市,百货商场,公司,地铁线路,超市,汽车配件,福利机构,汽车检测场,电影院,中学
15,23.0258022258,113.3081283038,风景区,休闲娱乐,体检机构,幼儿园,网吧,ATM,游戏场所,汽车销售,极限运动场所,快捷酒店
16,23.1625283563,113.3512662490,售票处,海滨浴场,公司,高速公路入口,地铁站,报刊亭,汽车销售,家政服务,酒吧,农家院
17,23.0046865855,113.3622024360,水系,汽车销售,公园,成人教育,地铁站,照相馆,投资理财,收费站,水系,超市
